Denominação OMS;Linhagem Pango;País de Detecção;Data de Detecção
Epsilon;B.1.427/B.1.429;Estados Unidos;mar/20
Zeta;P.2;Brasil;abr/20
Eta;B.1.525;Diversos países;dez/20
Theta;P.3;Filipinas;mar/21
Iota;B.1.526;Estados Unidos;nov/20
Kappa;B.1.617.1;Índia;out/20
Lambda;C.37;Peru;dez/20
